Command: vcs -R +v2k -full64 -f rtl_sim.f +define+DECRYPT +define+PAT3 +define+PAT_LEN=26465 \
+define+ASCII -debug_access+all -l vcs_decrypt_pat3.log
*** Using c compiler gcc instead of cc ...
                         Chronologic VCS (TM)
         Version N-2017.12_Full64 -- Sun Oct 12 02:00:49 2025
               Copyright (c) 1991-2017 by Synopsys Inc.
                         ALL RIGHTS RESERVED

This program is proprietary and confidential information of Synopsys Inc.
and may be used and disclosed only as authorized in a license agreement
controlling such use and disclosure.

Parsing design file './test_enigma_part4.v'
Parsing design file '../hdl/enigma_part4.v'
Top Level Modules:
       test_enigma_part4
TimeScale is 1 ns / 1 ps
Starting vcs inline pass...
3 modules and 0 UDP read.
recompiling module test_enigma_part4
	However, due to incremental compilation, only 1 module needs to be compiled. 
rm -f _csrc*.so pre_vcsobj_*.so share_vcsobj_*.so
ld -shared  -o .//../simv.daidir//_csrc0.so objs/amcQw_d.o 
rm -f _csrc0.so
if [ -x ../simv ]; then chmod -x ../simv; fi
g++  -o ../simv   -Wl,-rpath-link=./ -Wl,-rpath='$ORIGIN'/simv.daidir/ -Wl,-rpath=./simv.daidir/ \
-Wl,-rpath='$ORIGIN'/simv.daidir//scsim.db.dir  -rdynamic     _31677_archive_1.so \
_prev_archive_1.so _csrc0.so  SIM_l.o  _csrc0.so     rmapats_mop.o rmapats.o rmar.o \
rmar_nd.o  rmar_llvm_0_1.o rmar_llvm_0_0.o          /usr/cad/synopsys/vcs/2017.12/linux64/lib/libzerosoft_rt_stubs.so \
/usr/cad/synopsys/vcs/2017.12/linux64/lib/libvirsim.so /usr/cad/synopsys/vcs/2017.12/linux64/lib/liberrorinf.so \
/usr/cad/synopsys/vcs/2017.12/linux64/lib/libsnpsmalloc.so /usr/cad/synopsys/vcs/2017.12/linux64/lib/libvfs.so \
/usr/cad/synopsys/vcs/2017.12/linux64/lib/libvcsnew.so /usr/cad/synopsys/vcs/2017.12/linux64/lib/libsimprofile.so \
/usr/cad/synopsys/vcs/2017.12/linux64/lib/libuclinative.so /usr/cad/synopsys/vcs/2017.12/linux64/lib/vcs_tls.o \
-Wl,-whole-archive /usr/cad/synopsys/vcs/2017.12/linux64/lib/libvcsucli.so -Wl,-no-whole-archive \
_vcs_pli_stub_.o   /usr/cad/synopsys/vcs/2017.12/linux64/lib/vcs_save_restore_new.o \
/usr/cad/synopsys/verdi/2019.06/share/PLI/VCS/LINUX64/pli.a -ldl  -lc -lm -lpthread \
-ldl 
../simv up to date
Command: /home/u110/u110022124/ICLAB/HW2/part4/sim/./simv +v2k +define+DECRYPT +define+PAT3 +define+PAT_LEN=26465 +define+ASCII -a vcs_decrypt_pat3.log
[PASS]: PAT          42, golden_pat = 1a, code_out = 1a
[PASS]: PAT          43, golden_pat = 1a, code_out = 1a
[PASS]: PAT          44, golden_pat = 1a, code_out = 1a
[PASS]: PAT          45, golden_pat = 1a, code_out = 1a
[PASS]: PAT          46, golden_pat = 1a, code_out = 1a
[PASS]: PAT          47, golden_pat = 1a, code_out = 1a
[PASS]: PAT          48, golden_pat = 1a, code_out = 1a
[PASS]: PAT          49, golden_pat = 1a, code_out = 1a
[PASS]: PAT          50, golden_pat = 1a, code_out = 1a
[PASS]: PAT          51, golden_pat = 1a, code_out = 1a
[PASS]: PAT          52, golden_pat = 1a, code_out = 1a
[PASS]: PAT          53, golden_pat = 1a, code_out = 1a
[PASS]: PAT          54, golden_pat = 1a, code_out = 1a
[PASS]: PAT          55, golden_pat = 1a, code_out = 1a
[PASS]: PAT          56, golden_pat = 1a, code_out = 1a
[PASS]: PAT          57, golden_pat = 1a, code_out = 1a
[PASS]: PAT          58, golden_pat = 1a, code_out = 1a
[PASS]: PAT          59, golden_pat = 1a, code_out = 1a
[PASS]: PAT          60, golden_pat = 1a, code_out = 1a
[PASS]: PAT          61, golden_pat = 1a, code_out = 1a
[PASS]: PAT          62, golden_pat = 1a, code_out = 1a
[PASS]: PAT          63, golden_pat = 1a, code_out = 1a
[PASS]: PAT          64, golden_pat = 1a, code_out = 1a
[PASS]: PAT          65, golden_pat = 1a, code_out = 1a
[PASS]: PAT          66, golden_pat = 1a, code_out = 1a
[PASS]: PAT          67, golden_pat = 1a, code_out = 1a
[PASS]: PAT          68, golden_pat = 1a, code_out = 1a
[PASS]: PAT          69, golden_pat = 1a, code_out = 1a
[PASS]: PAT          70, golden_pat = 1a, code_out = 1a
[PASS]: PAT          71, golden_pat = 1a, code_out = 1a
[PASS]: PAT          72, golden_pat = 1a, code_out = 1a
[PASS]: PAT          73, golden_pat = 1a, code_out = 1a
[PASS]: PAT          74, golden_pat = 1a, code_out = 1a
[PASS]: PAT          75, golden_pat = 1e, code_out = 1e
[PASS]: PAT          76, golden_pat = 1e, code_out = 1e
[PASS]: PAT          77, golden_pat = 3f, code_out = 3f
[PASS]: PAT          78, golden_pat = 3f, code_out = 3f
[PASS]: PAT          79, golden_pat = 1d, code_out = 1d
[PASS]: PAT          80, golden_pat = 1e, code_out = 1e
[PASS]: PAT          81, golden_pat = 3a, code_out = 3a
[PASS]: PAT          82, golden_pat = 3b, code_out = 3b
[PASS]: PAT          83, golden_pat = 3f, code_out = 3f
[PASS]: PAT          84, golden_pat = 3f, code_out = 3f
[PASS]: PAT          85, golden_pat = 1d, code_out = 1d
[PASS]: PAT          86, golden_pat = 1e, code_out = 1e
[PASS]: PAT          87, golden_pat = 1e, code_out = 1e
[PASS]: PAT          88, golden_pat = 1e, code_out = 1e
[PASS]: PAT          89, golden_pat = 1e, code_out = 1e
[PASS]: PAT          90, golden_pat = 1e, code_out = 1e
[PASS]: PAT          91, golden_pat = 0e, code_out = 0e
[PASS]: PAT          92, golden_pat = 3f, code_out = 3f
[PASS]: PAT          93, golden_pat = 3b, code_out = 3b
[PASS]: PAT          94, golden_pat = 1e, code_out = 1e
[PASS]: PAT          95, golden_pat = 1e, code_out = 1e
[PASS]: PAT          96, golden_pat = 1e, code_out = 1e
[PASS]: PAT          97, golden_pat = 1d, code_out = 1d
[PASS]: PAT          98, golden_pat = 3f, code_out = 3f
[PASS]: PAT          99, golden_pat = 3f, code_out = 3f
[PASS]: PAT         100, golden_pat = 3b, code_out = 3b
[PASS]: PAT         101, golden_pat = 1e, code_out = 1e
[PASS]: PAT         102, golden_pat = 1e, code_out = 1e
[PASS]: PAT         103, golden_pat = 1e, code_out = 1e
[PASS]: PAT         104, golden_pat = 1a, code_out = 1a
[PASS]: PAT         105, golden_pat = 1a, code_out = 1a
[PASS]: PAT         106, golden_pat = 1a, code_out = 1a
[PASS]: PAT         107, golden_pat = 1a, code_out = 1a
[PASS]: PAT         108, golden_pat = 1a, code_out = 1a
[PASS]: PAT         109, golden_pat = 1a, code_out = 1a
[PASS]: PAT         110, golden_pat = 1a, code_out = 1a
[PASS]: PAT         111, golden_pat = 1a, code_out = 1a
[PASS]: PAT         112, golden_pat = 1a, code_out = 1a
[PASS]: PAT         113, golden_pat = 1a, code_out = 1a
[PASS]: PAT         114, golden_pat = 1a, code_out = 1a
[PASS]: PAT         115, golden_pat = 1a, code_out = 1a
[PASS]: PAT         116, golden_pat = 1a, code_out = 1a
[PASS]: PAT         117, golden_pat = 1a, code_out = 1a
[PASS]: PAT         118, golden_pat = 1a, code_out = 1a
[PASS]: PAT         119, golden_pat = 1a, code_out = 1a
[PASS]: PAT         120, golden_pat = 1a, code_out = 1a
[PASS]: PAT         121, golden_pat = 1a, code_out = 1a
[PASS]: PAT         122, golden_pat = 1a, code_out = 1a
[PASS]: PAT         123, golden_pat = 1a, code_out = 1a
[PASS]: PAT         124, golden_pat = 1a, code_out = 1a
[PASS]: PAT         125, golden_pat = 1a, code_out = 1a
[PASS]: PAT         126, golden_pat = 1a, code_out = 1a
[PASS]: PAT         127, golden_pat = 1a, code_out = 1a
[PASS]: PAT         128, golden_pat = 1a, code_out = 1a
[PASS]: PAT         129, golden_pat = 1a, code_out = 1a
[PASS]: PAT         130, golden_pat = 1a, code_out = 1a
[PASS]: PAT         131, golden_pat = 1a, code_out = 1a
[PASS]: PAT         132, golden_pat = 1a, code_out = 1a
[PASS]: PAT         133, golden_pat = 1a, code_out = 1a
[PASS]: PAT         134, golden_pat = 1a, code_out = 1a
[PASS]: PAT         135, golden_pat = 1a, code_out = 1a
[PASS]: PAT         136, golden_pat = 1a, code_out = 1a
[PASS]: PAT         137, golden_pat = 1a, code_out = 1a
[PASS]: PAT         138, golden_pat = 1a, code_out = 1a
[PASS]: PAT         139, golden_pat = 1a, code_out = 1a
[PASS]: PAT         140, golden_pat = 1a, code_out = 1a
[PASS]: PAT         141, golden_pat = 1a, code_out = 1a
[PASS]: PAT         142, golden_pat = 1a, code_out = 1a
[PASS]: PAT         143, golden_pat = 1a, code_out = 1a
[PASS]: PAT         144, golden_pat = 1a, code_out = 1a
[PASS]: PAT         145, golden_pat = 1a, code_out = 1a
[PASS]: PAT         146, golden_pat = 1a, code_out = 1a
[PASS]: PAT         147, golden_pat = 1a, code_out = 1a
[PASS]: PAT         148, golden_pat = 1a, code_out = 1a
[PASS]: PAT         149, golden_pat = 1a, code_out = 1a
[PASS]: PAT         150, golden_pat = 1a, code_out = 1a
[PASS]: PAT         151, golden_pat = 1a, code_out = 1a
[PASS]: PAT         152, golden_pat = 1a, code_out = 1a
[PASS]: PAT         153, golden_pat = 1a, code_out = 1a
[PASS]: PAT         154, golden_pat = 1a, code_out = 1a
[PASS]: PAT         155, golden_pat = 1a, code_out = 1a
[PASS]: PAT         156, golden_pat = 1a, code_out = 1a
[PASS]: PAT         157, golden_pat = 1a, code_out = 1a
[PASS]: PAT         158, golden_pat = 1a, code_out = 1a
[PASS]: PAT         159, golden_pat = 1a, code_out = 1a
[PASS]: PAT         160, golden_pat = 1a, code_out = 1a
[PASS]: PAT         161, golden_pat = 1a, code_out = 1a
[PASS]: PAT         162, golden_pat = 1a, code_out = 1a
[PASS]: PAT         163, golden_pat = 1a, code_out = 1a
[PASS]: PAT         164, golden_pat = 1a, code_out = 1a
[PASS]: PAT         165, golden_pat = 1a, code_out = 1a
[PASS]: PAT         166, golden_pat = 1a, code_out = 1a
[PASS]: PAT         167, golden_pat = 1a, code_out = 1a
[PASS]: PAT         168, golden_pat = 1a, code_out = 1a
[PASS]: PAT         169, golden_pat = 1a, code_out = 1a
[PASS]: PAT         170, golden_pat = 1a, code_out = 1a
[PASS]: PAT         171, golden_pat = 1a, code_out = 1a
[PASS]: PAT         172, golden_pat = 1a, code_out = 1a
[PASS]: PAT         173, golden_pat = 1a, code_out = 1a
[PASS]: PAT         174, golden_pat = 1a, code_out = 1a
[PASS]: PAT         175, golden_pat = 1a, code_out = 1a
[PASS]: PAT         176, golden_pat = 1a, code_out = 1a
[PASS]: PAT         177, golden_pat = 1a, code_out = 1a
[PASS]: PAT         178, golden_pat = 1a, code_out = 1a
[PASS]: PAT         179, golden_pat = 1a, code_out = 1a
[PASS]: PAT         180, golden_pat = 1a, code_out = 1a
[PASS]: PAT         181, golden_pat = 1a, code_out = 1a
[PASS]: PAT         182, golden_pat = 1a, code_out = 1a
[PASS]: PAT         183, golden_pat = 1a, code_out = 1a
[PASS]: PAT         184, golden_pat = 1a, code_out = 1a
[PASS]: PAT         185, golden_pat = 1a, code_out = 1a
[PASS]: PAT         186, golden_pat = 1a, code_out = 1a
[PASS]: PAT         187, golden_pat = 1a, code_out = 1a
[PASS]: PAT         188, golden_pat = 1a, code_out = 1a
[PASS]: PAT         189, golden_pat = 1a, code_out = 1a
[PASS]: PAT         190, golden_pat = 1a, code_out = 1a
[PASS]: PAT         191, golden_pat = 1a, code_out = 1a
[PASS]: PAT         192, golden_pat = 1a, code_out = 1a
[PASS]: PAT         193, golden_pat = 1a, code_out = 1a
[PASS]: PAT         194, golden_pat = 1a, code_out = 1a
[PASS]: PAT         195, golden_pat = 1a, code_out = 1a
[PASS]: PAT         196, golden_pat = 1a, code_out = 1a
[PASS]: PAT         197, golden_pat = 1a, code_out = 1a
[PASS]: PAT         198, golden_pat = 1a, code_out = 1a
[PASS]: PAT         199, golden_pat = 1a, code_out = 1a
[PASS]: PAT         200, golden_pat = 1a, code_out = 1a
[PASS]: PAT         201, golden_pat = 1a, code_out = 1a
[PASS]: PAT         202, golden_pat = 1a, code_out = 1a
[PASS]: PAT         203, golden_pat = 1a, code_out = 1a
[PASS]: PAT         204, golden_pat = 1a, code_out = 1a
[PASS]: PAT         205, golden_pat = 1a, code_out = 1a
[PASS]: PAT         206, golden_pat = 1a, code_out = 1a
[PASS]: PAT         207, golden_pat = 1a, code_out = 1a
[PASS]: PAT         208, golden_pat = 1a, code_out = 1a
[PASS]: PAT         209, golden_pat = 1a, code_out = 1a
[PASS]: PAT         210, golden_pat = 1a, code_out = 1a
[PASS]: PAT         211, golden_pat = 1a, code_out = 1a
[PASS]: PAT         212, golden_pat = 1a, code_out = 1a
[PASS]: PAT         213, golden_pat = 1a, code_out = 1a
[PASS]: PAT         214, golden_pat = 1a, code_out = 1a
[PASS]: PAT         215, golden_pat = 1a, code_out = 1a
[PASS]: PAT         216, golden_pat = 1a, code_out = 1a
[PASS]: PAT         217, golden_pat = 1a, code_out = 1a
[PASS]: PAT         218, golden_pat = 1a, code_out = 1a
[PASS]: PAT         219, golden_pat = 1a, code_out = 1a
[PASS]: PAT         220, golden_pat = 1a, code_out = 1a
[PASS]: PAT         221, golden_pat = 1a, code_out = 1a
[PASS]: PAT         222, golden_pat = 1a, code_out = 1a
[PASS]: PAT         223, golden_pat = 1a, code_out = 1a
[PASS]: PAT         224, golden_pat = 1a, code_out = 1a
[PASS]: PAT         225, golden_pat = 1a, code_out = 1a
[PASS]: PAT         226, golden_pat = 1a, code_out = 1a
[PASS]: PAT         227, golden_pat = 1a, code_out = 1a
[PASS]: PAT         228, golden_pat = 1a, code_out = 1a
[PASS]: PAT         229, golden_pat = 1a, code_out = 1a
[PASS]: PAT         230, golden_pat = 1a, code_out = 1a
[PASS]: PAT         231, golden_pat = 1a, code_out = 1a
[PASS]: PAT         232, golden_pat = 1a, code_out = 1a
[PASS]: PAT         233, golden_pat = 1a, code_out = 1a
[PASS]: PAT         234, golden_pat = 1a, code_out = 1a
[PASS]: PAT         235, golden_pat = 1a, code_out = 1a
[PASS]: PAT         236, golden_pat = 1a, code_out = 1a
[PASS]: PAT         237, golden_pat = 1a, code_out = 1a
[PASS]: PAT         238, golden_pat = 1a, code_out = 1a
[PASS]: PAT         239, golden_pat = 1a, code_out = 1a
[PASS]: PAT         240, golden_pat = 1a, code_out = 1a
[PASS]: PAT         241, golden_pat = 1a, code_out = 1a
[PASS]: PAT         242, golden_pat = 1a, code_out = 1a
[PASS]: PAT         243, golden_pat = 1a, code_out = 1a
[PASS]: PAT         244, golden_pat = 1a, code_out = 1a
[PASS]: PAT         245, golden_pat = 1a, code_out = 1a
[PASS]: PAT         246, golden_pat = 1a, code_out = 1a
[PASS]: PAT         247, golden_pat = 1a, code_out = 1a
[PASS]: PAT         248, golden_pat = 1a, code_out = 1a
[PASS]: PAT         249, golden_pat = 1a, code_out = 1a
[PASS]: PAT         250, golden_pat = 1a, code_out = 1a
[PASS]: PAT         251, golden_pat = 1a, code_out = 1a
[PASS]: PAT         252, golden_pat = 1a, code_out = 1a
[PASS]: PAT         253, golden_pat = 1a, code_out = 1a
[PASS]: PAT         254, golden_pat = 1a, code_out = 1a
[PASS]: PAT         255, golden_pat = 1a, code_out = 1a
[PASS]: PAT         256, golden_pat = 1a, code_out = 1a
[PASS]: PAT         257, golden_pat = 1a, code_out = 1a
[PASS]: PAT         258, golden_pat = 1a, code_out = 1a
[PASS]: PAT         259, golden_pat = 1a, code_out = 1a
[PASS]: PAT         260, golden_pat = 1a, code_out = 1a
[PASS]: PAT         261, golden_pat = 1a, code_out = 1a
[PASS]: PAT         262, golden_pat = 1a, code_out = 1a
[PASS]: PAT         263, golden_pat = 1a, code_out = 1a
[PASS]: PAT         264, golden_pat = 1a, code_out = 1a
[PASS]: PAT         265, golden_pat = 1a, code_out = 1a
[PASS]: PAT         266, golden_pat = 1a, code_out = 1a
[PASS]: PAT         267, golden_pat = 1a, code_out = 1a
[PASS]: PAT         268, golden_pat = 1a, code_out = 1a
[PASS]: PAT         269, golden_pat = 1a, code_out = 1a
[PASS]: PAT         270, golden_pat = 1a, code_out = 1a
[PASS]: PAT         271, golden_pat = 1a, code_out = 1a
[PASS]: PAT         272, golden_pat = 1a, code_out = 1a
[PASS]: PAT         273, golden_pat = 1a, code_out = 1a
[PASS]: PAT         274, golden_pat = 1a, code_out = 1a
[PASS]: PAT         275, golden_pat = 1a, code_out = 1a
[PASS]: PAT         276, golden_pat = 1a, code_out = 1a
[PASS]: PAT         277, golden_pat = 1a, code_out = 1a
[PASS]: PAT         278, golden_pat = 1a, code_out = 1a
[PASS]: PAT         279, golden_pat = 1a, code_out = 1a
[PASS]: PAT         280, golden_pat = 1a, code_out = 1a
[PASS]: PAT         281, golden_pat = 1a, code_out = 1a
[PASS]: PAT         282, golden_pat = 1a, code_out = 1a
[PASS]: PAT         283, golden_pat = 1a, code_out = 1a
[PASS]: PAT         284, golden_pat = 1a, code_out = 1a
[PASS]: PAT         285, golden_pat = 1a, code_out = 1a
[PASS]: PAT         286, golden_pat = 1a, code_out = 1a
[PASS]: PAT         287, golden_pat = 1a, code_out = 1a
[PASS]: PAT         288, golden_pat = 1a, code_out = 1a
[PASS]: PAT         289, golden_pat = 1a, code_out = 1a
[PASS]: PAT         290, golden_pat = 1a, code_out = 1a
[PASS]: PAT         291, golden_pat = 1a, code_out = 1a
[PASS]: PAT         292, golden_pat = 1a, code_out = 1a
[PASS]: PAT         293, golden_pat = 1a, code_out = 1a
[PASS]: PAT         294, golden_pat = 1a, code_out = 1a
[PASS]: PAT         295, golden_pat = 1a, code_out = 1a
[PASS]: PAT         296, golden_pat = 1a, code_out = 1a
[PASS]: PAT         297, golden_pat = 1a, code_out = 1a
[PASS]: PAT         298, golden_pat = 1a, code_out = 1a
[PASS]: PAT         299, golden_pat = 1a, code_out = 1a
[PASS]: PAT         300, golden_pat = 1a, code_out = 1a
[PASS]: PAT         301, golden_pat = 1a, code_out = 1a
[PASS]: PAT         302, golden_pat = 1a, code_out = 1a
[PASS]: PAT         303, golden_pat = 1a, code_out = 1a
[PASS]: PAT         304, golden_pat = 1a, code_out = 1a
[PASS]: PAT         305, golden_pat = 1a, code_out = 1a
[PASS]: PAT         306, golden_pat = 1a, code_out = 1a
[PASS]: PAT         307, golden_pat = 1a, code_out = 1a
[PASS]: PAT         308, golden_pat = 1a, code_out = 1a
[PASS]: PAT         309, golden_pat = 1a, code_out = 1a
[PASS]: PAT         310, golden_pat = 1a, code_out = 1a
[PASS]: PAT         311, golden_pat = 1a, code_out = 1a
[PASS]: PAT         312, golden_pat = 1a, code_out = 1a
[PASS]: PAT         313, golden_pat = 1a, code_out = 1a
[PASS]: PAT         314, golden_pat = 1a, code_out = 1a
[PASS]: PAT         315, golden_pat = 1a, code_out = 1a
[PASS]: PAT         316, golden_pat = 1a, code_out = 1a
[PASS]: PAT         317, golden_pat = 1a, code_out = 1a
[PASS]: PAT         318, golden_pat = 1a, code_out = 1a
[PASS]: PAT         319, golden_pat = 1a, code_out = 1a
[PASS]: PAT         320, golden_pat = 1a, code_out = 1a
[PASS]: PAT         321, golden_pat = 1a, code_out = 1a
[PASS]: PAT         322, golden_pat = 1a, code_out = 1a
[PASS]: PAT         323, golden_pat = 1a, code_out = 1a
[PASS]: PAT         324, golden_pat = 1a, code_out = 1a
[PASS]: PAT         325, golden_pat = 1a, code_out = 1a
[PASS]: PAT         326, golden_pat = 1a, code_out = 1a
[PASS]: PAT         327, golden_pat = 1a, code_out = 1a
[PASS]: PAT         328, golden_pat = 1a, code_out = 1a
[PASS]: PAT         329, golden_pat = 1a, code_out = 1a
[PASS]: PAT         330, golden_pat = 1a, code_out = 1a
[PASS]: PAT         331, golden_pat = 1a, code_out = 1a
[PASS]: PAT         332, golden_pat = 1a, code_out = 1a
[PASS]: PAT         333, golden_pat = 1a, code_out = 1a
[PASS]: PAT         334, golden_pat = 1a, code_out = 1a
[PASS]: PAT         335, golden_pat = 1a, code_out = 1a
[PASS]: PAT         336, golden_pat = 1a, code_out = 1a
[PASS]: PAT         337, golden_pat = 1a, code_out = 1a
[PASS]: PAT         338, golden_pat = 1a, code_out = 1a
[PASS]: PAT         339, golden_pat = 1a, code_out = 1a
[PASS]: PAT         340, golden_pat = 1a, code_out = 1a
[PASS]: PAT         341, golden_pat = 1a, code_out = 1a
[PASS]: PAT         342, golden_pat = 1a, code_out = 1a
[PASS]: PAT         343, golden_pat = 1a, code_out = 1a
[PASS]: PAT         344, golden_pat = 1a, code_out = 1a
[PASS]: PAT         345, golden_pat = 1a, code_out = 1a
[PASS]: PAT         346, golden_pat = 1a, code_out = 1a
[PASS]: PAT         347, golden_pat = 1a, code_out = 1a
[PASS]: PAT         348, golden_pat = 1a, code_out = 1a
[PASS]: PAT         349, golden_pat = 1a, code_out = 1a
[PASS]: PAT         350, golden_pat = 1a, code_out = 1a
[PASS]: PAT         351, golden_pat = 1a, code_out = 1a
[PASS]: PAT         352, golden_pat = 1a, code_out = 1a
[PASS]: PAT         353, golden_pat = 1a, code_out = 1a
[PASS]: PAT         354, golden_pat = 1a, code_out = 1a
[PASS]: PAT         355, golden_pat = 1a, code_out = 1a
[PASS]: PAT         356, golden_pat = 1a, code_out = 1a
[PASS]: PAT         357, golden_pat = 1a, code_out = 1a
[PASS]: PAT         358, golden_pat = 1a, code_out = 1a
[PASS]: PAT         359, golden_pat = 1a, code_out = 1a
[PASS]: PAT         360, golden_pat = 1a, code_out = 1a
[PASS]: PAT         361, golden_pat = 1a, code_out = 1a
[PASS]: PAT         362, golden_pat = 1a, code_out = 1a
[PASS]: PAT         363, golden_pat = 1a, code_out = 1a
[PASS]: PAT         364, golden_pat = 1a, code_out = 1a
[PASS]: PAT         365, golden_pat = 1a, code_out = 1a
[PASS]: PAT         366, golden_pat = 1a, code_out = 1a
[PASS]: PAT         367, golden_pat = 1a, code_out = 1a
[PASS]: PAT         368, golden_pat = 1a, code_out = 1a
[PASS]: PAT         369, golden_pat = 1a, code_out = 1a
[PASS]: PAT         370, golden_pat = 1a, code_out = 1a
[PASS]: PAT         371, golden_pat = 1a, code_out = 1a
[PASS]: PAT         372, golden_pat = 1a, code_out = 1a
